Feature,Malignant_Mean,Benign_Mean,Mean_Difference,Cohens_d,Effect_Size,T_Statistic,P_Value,Significant
concave points_worst,0.1822373113207547,0.07444434453781512,0.10779296678293959,2.604476255648015,Large,31.054555115984236,1.9690997072164375e-124,Yes
perimeter_worst,141.37033018867925,87.00593837535013,54.36439181332912,2.3718657626547754,Large,29.965717392710303,5.771397139668621e-119,Yes
concave points_mean,0.08799,0.025717406162464984,0.062272593837535015,2.3250818154548494,Large,29.354318592113618,7.101150161057422e-116,Yes
radius_worst,21.134811320754718,13.37980112044818,7.755010200306538,2.323756478825948,Large,29.33908156342075,8.482291921684414e-116,Yes
perimeter_mean,115.36537735849056,78.075406162465,37.28997119602556,2.1229994190819275,Large,26.405212979192665,8.43625103617473e-101,Yes
radius_mean,17.462830188679245,12.146523809523808,5.316306379155437,2.051141479544452,Large,25.435821610057054,8.465940572262422e-96,Yes
area_worst,1422.2863207547173,558.8994397759103,863.386880978807,1.9695536767036106,Large,25.721590260589004,2.828847704286693e-97,Yes
concavity_mean,0.16077471698113208,0.04605762100840336,0.11471709597272872,1.8714368693403884,Large,23.103963430622642,9.966555755072963e-84,Yes
area_mean,978.3764150943397,462.7901960784313,515.5862190159085,1.8616048531329537,Large,23.938687235690992,4.734564310307344e-88,Yes
concavity_worst,0.4506055660377358,0.16623772268907563,0.28436784334866017,1.7526911636180853,Large,20.897175392934138,2.4646639567829224e-72,Yes
compactness_mean,0.14518778301886792,0.0800846218487395,0.06510316117012842,1.4460748967517194,Large,17.69839197688993,3.9382631058873895e-56,Yes
compactness_worst,0.37482410377358494,0.18267254901960786,0.19215155475397708,1.4028321658573608,Large,17.445373681975457,7.069816352538378e-55,Yes
radius_se,0.6090825471698113,0.28408235294117645,0.3250001942286348,1.2663883983772515,Large,16.39635102598575,9.73894865646109e-50,Yes
perimeter_se,4.3239292452830185,2.0003212885154062,2.3236079567676122,1.2253188853199897,Large,15.934158019257902,1.6519051758498055e-47,Yes
area_se,72.67240566037735,21.135148459383753,51.537257200993594,1.1757619947137279,Large,15.609342900255001,5.8955213926058635e-46,Yes
texture_worst,29.318207547169813,23.51507002801121,5.803137519158604,1.0619783519686896,Large,12.23098134599393,1.0780574879494241e-30,Yes
texture_mean,21.60490566037736,17.914761904761903,3.6901437556154555,0.9489176409739466,Large,10.86720108146434,4.0586360478980736e-25,Yes
smoothness_worst,0.1448452358490566,0.12495949579831933,0.01988574005073726,0.94864714257766,Large,11.066746606769504,6.575143633984769e-26,Yes
concave points_se,0.015060471698113208,0.009857652661064425,0.005202819037048783,0.9267896039664199,Large,10.64249782452053,3.0723087688180654e-24,Yes
symmetry_worst,0.32346792452830186,0.27024593837535016,0.053221986152951706,0.8797041619380109,Large,10.902303982929364,2.951120577154039e-25,Yes
smoothness_mean,0.10289849056603775,0.09247764705882354,0.010420843507214214,0.7995190373572573,Medium,9.146098808149038,1.051850359203201e-18,Yes
symmetry_mean,0.1929089622641509,0.1741859943977591,0.018722967866391826,0.7129677142521065,Medium,8.338311789592808,5.733384028466827e-16,Yes
fractal_dimension_worst,0.09152995283018868,0.07944207282913165,0.012087880001057025,0.6679107143434454,Medium,8.151316497940705,2.316432449982829e-15,Yes
compactness_se,0.03228116509433963,0.02143824649859944,0.010842918595740186,0.6231867688118738,Medium,7.297077437448529,9.975994654074766e-13,Yes
concavity_se,0.041824009433962264,0.02599673557422969,0.015827273859732573,0.5684740763371724,Medium,6.246157343266935,8.260176167970112e-10,Yes
fractal_dimension_se,0.0040624056603773585,0.0036360512605042015,0.00042635439987315704,0.1685258159151898,Negligible,1.862330463973157,0.06307355082239346,No
smoothness_se,0.006780094339622642,0.007195901960784313,-0.0004158076211616714,-0.13968574826363825,Negligible,-1.599364812413284,0.11029660865789293,No
fractal_dimension_mean,0.06268009433962264,0.0628673949579832,-0.00018730061836055856,-0.026114701623652967,Negligible,-0.30571112978583087,0.7599368037256238,No
texture_se,1.2109146226415093,1.2203801120448179,-0.009465489403308602,-0.017567981791270587,Negligible,-0.1977238031013334,0.8433320287670163,No
symmetry_se,0.020472400943396227,0.020583806722689075,-0.00011140577929284745,-0.012851976541135717,Negligible,-0.1552978000059369,0.8766418183858812,No
